Grantee Name,Grant Number,Program Name,City,State,ZIP Code,County,Congressional District,Award Fiscal Year,Award Funding
Access Health Louisiana,H8DCS35748,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Kenner,LA,70065-4605,Jefferson,LA-01,2020,"$1,400,675.00"
Access Health Louisiana,H8ECS37957,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Kenner,LA,70065-4605,Jefferson,LA-01,2020,"$807,109.00"
ACHIEVABLE FOUNDATION THE,H8CCS34476,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Culver City,CA,90230-6971,Los Angeles,CA-37,2020,"$51,625.00"
ACHIEVABLE FOUNDATION THE,H8DCS35794,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Culver City,CA,90230-6971,Los Angeles,CA-37,2020,"$535,400.00"
ACHIEVABLE FOUNDATION THE,H8ECS38141,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Culver City,CA,90230-6971,Los Angeles,CA-37,2020,"$128,374.00"
ADAMS COUNTY HEALTH CENTER INC,H8CCS34781,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Council,ID,83612-5015,Adams,ID-01,2020,"$53,355.00"
ADAMS COUNTY HEALTH CENTER INC,H8DCS36225,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Council,ID,83612-5015,Adams,ID-01,2020,"$557,690.00"
ADAMS COUNTY HEALTH CENTER INC,H8ECS38458,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Council,ID,83612-5015,Adams,ID-01,2020,"$133,519.00"
ADAPT,H8CCS34205,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Roseburg,OR,97470-3090,Douglas,OR-04,2020,"$52,821.00"
ADAPT,H8DCS35819,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Roseburg,OR,97470-3090,Douglas,OR-04,2020,"$567,350.00"
ADAPT,H8ECS39022,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Roseburg,OR,97470-3090,Douglas,OR-04,2020,"$174,739.00"
"Adelante Healthcare, Inc.",H8CCS34584,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Phoenix,AZ,85012-2808,Maricopa,AZ-09,2020,"$111,674.00"
"Adelante Healthcare, Inc.",H8DCS35444,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Phoenix,AZ,85012-2808,Maricopa,AZ-09,2020,"$1,841,045.00"
"Adelante Healthcare, Inc.",H8ECS38473,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Phoenix,AZ,85012-2808,Maricopa,AZ-09,2020,"$1,226,599.00"
"Advance Community Health, Inc.",H8CCS34532,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Raleigh,NC,27610-3825,Wake,NC-04,2020,"$73,657.00"
"Advance Community Health, Inc.",H8DCS36388,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Raleigh,NC,27610-3825,Wake,NC-04,2020,"$937,640.00"
"Advance Community Health, Inc.",H8ECS38409,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Raleigh,NC,27610-3825,Wake,NC-04,2020,"$373,804.00"
"ADVOCATES FOR A HEALTHY COMMUNITY, INC.",H8CCS34703,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Springfield,MO,65806-1105,Greene,MO-07,2020,"$124,543.00"
"ADVOCATES FOR A HEALTHY COMMUNITY, INC.",H8DCS35940,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Springfield,MO,65806-1105,Greene,MO-07,2020,"$1,988,555.00"
"ADVOCATES FOR A HEALTHY COMMUNITY, INC.",H8ECS38394,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Springfield,MO,65806-1105,Greene,MO-07,2020,"$1,066,729.00"
Affinia Healthcare,H8CCS34718,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Saint Louis,MO,63106-3454,St. Louis City,MO-01,2020,"$118,263.00"
Affinia Healthcare,H8DCS35937,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Saint Louis,MO,63106-3454,St. Louis City,MO-01,2020,"$1,709,675.00"
Affinia Healthcare,H8ECS38150,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Saint Louis,MO,63106-3454,St. Louis City,MO-01,2020,"$754,549.00"
Affinity Health Center,H8CCS34926,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Rock Hill,SC,29730-4205,York,SC-05,2020,"$62,020.00"
Affinity Health Center,H8DCS36257,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Rock Hill,SC,29730-4205,York,SC-05,2020,"$693,650.00"
Affinity Health Center,H8ECS38180,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Rock Hill,SC,29730-4205,York,SC-05,2020,"$199,624.00"
"Agape Community Health Center, Inc.",H8CCS35041,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Jacksonville,FL,32208-3021,Duval,FL-05,2020,"$64,957.00"
"Agape Community Health Center, Inc.",H8DCS36016,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Jacksonville,FL,32208-3021,Duval,FL-05,2020,"$759,410.00"
"Agape Community Health Center, Inc.",H8ECS38048,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Jacksonville,FL,32208-3021,Duval,FL-05,2020,"$218,074.00"
AIDS Action Coalition of Huntsville,H8CCS34008,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Huntsville,AL,35801-5057,Madison,AL-05,2020,"$54,099.00"
AIDS Action Coalition of Huntsville,H8DCS35418,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Huntsville,AL,35801-5057,Madison,AL-05,2020,"$568,235.00"
AIDS Action Coalition of Huntsville,H8ECS38765,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Huntsville,AL,35801-5057,Madison,AL-05,2020,"$148,084.00"
AJO COMMUNITY HEALTH CENTER,H8CCS34579,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Ajo,AZ,85321-2201,Pima,AZ-03,2020,"$52,442.00"
AJO COMMUNITY HEALTH CENTER,H8DCS35441,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Ajo,AZ,85321-2201,Pima,AZ-03,2020,"$551,000.00"
AJO COMMUNITY HEALTH CENTER,H8ECS37818,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Ajo,AZ,85321-2201,Pima,AZ-03,2020,"$139,609.00"
Alabama Regional Medical Services,H8CCS35008,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Birmingham,AL,35203-2400,Jefferson,AL-07,2020,"$69,145.00"
Alabama Regional Medical Services,H8DCS35423,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Birmingham,AL,35203-2400,Jefferson,AL-07,2020,"$810,920.00"
Alabama Regional Medical Services,H8ECS38635,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Birmingham,AL,35203-2400,Jefferson,AL-07,2020,"$233,839.00"
"ALAMEDA, COUNTY OF",H8CCS34248,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Oakland,CA,94612-3208,Alameda,CA-13,2020,"$63,641.00"
"ALAMEDA, COUNTY OF",H8DCS35523,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Oakland,CA,94612-3208,Alameda,CA-13,2020,"$750,995.00"
"ALAMEDA, COUNTY OF",H8ECS37730,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Oakland,CA,94612-3208,Alameda,CA-13,2020,"$260,734.00"
"ALBANY AREA PRIMARY HEALTH CARE, INC",H8CCS34601,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Albany,GA,31707-2983,Dougherty,GA-02,2020,"$96,168.00"
"ALBANY AREA PRIMARY HEALTH CARE, INC",H8DCS36064,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Albany,GA,31707-2983,Dougherty,GA-02,2020,"$1,423,235.00"
"ALBANY AREA PRIMARY HEALTH CARE, INC",H8ECS38094,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Albany,GA,31707-2983,Dougherty,GA-02,2020,"$780,934.00"
"ALBUQUERQUE HEALTH CARE FOR THE HOMELESS, INC.",H8CCS35113,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Albuquerque,NM,87102-1529,Bernalillo,NM-01,2020,"$56,557.00"
"ALBUQUERQUE HEALTH CARE FOR THE HOMELESS, INC.",H8DCS36412,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Albuquerque,NM,87102-1529,Bernalillo,NM-01,2020,"$613,700.00"
"ALBUQUERQUE HEALTH CARE FOR THE HOMELESS, INC.",H8ECS37901,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Albuquerque,NM,87102-1529,Bernalillo,NM-01,2020,"$149,839.00"
"Alcona Citizens For Health, Inc.",H8CCS34166,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Alpena,MI,49707-2929,Alpena,MI-01,2020,"$69,428.00"
"Alcona Citizens For Health, Inc.",H8DCS35496,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Alpena,MI,49707-2929,Alpena,MI-01,2020,"$1,003,280.00"
"Alcona Citizens For Health, Inc.",H8ECS37983,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Alpena,MI,49707-2929,Alpena,MI-01,2020,"$569,344.00"
"Aletheia House, Inc.",H8CCS34012,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Birmingham,AL,35204-1047,Jefferson,AL-07,2020,"$54,731.00"
"Aletheia House, Inc.",H8DCS35410,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Birmingham,AL,35204-1047,Jefferson,AL-07,2020,"$568,625.00"
"Aletheia House, Inc.",H8ECS38174,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Birmingham,AL,35204-1047,Jefferson,AL-07,2020,"$120,604.00"
"ALEUTIAN PRIBILOF ISLANDS ASSOCIATION, INC.",H8CCS33974,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Anchorage,AK,99518-1408,Anchorage,AK-00,2020,"$50,667.00"
"ALEUTIAN PRIBILOF ISLANDS ASSOCIATION, INC.",H8DCS35381,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Anchorage,AK,99518-1408,Anchorage,AK-00,2020,"$506,660.00"
"ALEUTIAN PRIBILOF ISLANDS ASSOCIATION, INC.",H8ECS37889,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Anchorage,AK,99518-1408,Anchorage,AK-00,2020,"$100,384.00"
"ALIVIO MEDICAL CENTER, INC",H8CCS34453,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Chicago,IL,60608-4511,Cook,IL-04,2020,"$85,486.00"
"ALIVIO MEDICAL CENTER, INC",H8DCS36245,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Chicago,IL,60608-4511,Cook,IL-04,2020,"$1,145,270.00"
"ALIVIO MEDICAL CENTER, INC",H8ECS38980,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Chicago,IL,60608-4511,Cook,IL-04,2020,"$433,594.00"
All Care Health Center,H8CCS34741,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Council Bluffs,IA,51501-6441,Pottawattamie,IA-03,2020,"$56,558.00"
All Care Health Center,H8DCS36084,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Council Bluffs,IA,51501-6441,Pottawattamie,IA-03,2020,"$626,420.00"
All Care Health Center,H8ECS37650,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Council Bluffs,IA,51501-6441,Pottawattamie,IA-03,2020,"$190,264.00"
All For Health Health For All,H8CCS34243,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Glendale,CA,91205-1110,Los Angeles,CA-28,2020,"$64,186.00"
All For Health Health For All,H8DCS35796,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Glendale,CA,91205-1110,Los Angeles,CA-28,2020,"$871,910.00"
All For Health Health For All,H8ECS38247,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Glendale,CA,91205-1110,Los Angeles,CA-28,2020,"$465,784.00"
ALL-INCLUSIVE COMMUNITY HEALTH CENTER,H8CCS34032,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Burbank,CA,91504-4236,Los Angeles,CA-28,2020,"$57,801.00"
ALL-INCLUSIVE COMMUNITY HEALTH CENTER,H8DCS35727,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Burbank,CA,91504-4236,Los Angeles,CA-28,2020,"$702,230.00"
ALL-INCLUSIVE COMMUNITY HEALTH CENTER,H8ECS37797,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Burbank,CA,91504-4236,Los Angeles,CA-28,2020,"$283,999.00"
"Alliance Medical Center, Inc.",H8CCS34093,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Healdsburg,CA,95448-3314,Sonoma,CA-02,2020,"$62,111.00"
"Alliance Medical Center, Inc.",H8DCS35606,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Healdsburg,CA,95448-3314,Sonoma,CA-02,2020,"$744,770.00"
"Alliance Medical Center, Inc.",H8ECS38011,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Healdsburg,CA,95448-3314,Sonoma,CA-02,2020,"$283,264.00"
AltaMed Health Services Corporation,H8CCS34073,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Commerce,CA,90040-1502,Los Angeles,CA-40,2020,"$236,398.00"
AltaMed Health Services Corporation,H8DCS35555,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Commerce,CA,90040-1502,Los Angeles,CA-40,2020,"$4,693,970.00"
AltaMed Health Services Corporation,H8ECS38599,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Commerce,CA,90040-1502,Los Angeles,CA-40,2020,"$3,551,239.00"
"ALTAPOINTE HEALTH SYSTEMS, INC.",H8CCS33996,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Mobile,AL,36693-3316,Mobile,AL-01,2020,"$51,089.00"
"ALTAPOINTE HEALTH SYSTEMS, INC.",H8DCS35408,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Mobile,AL,36693-3316,Mobile,AL-01,2020,"$516,890.00"
"ALTAPOINTE HEALTH SYSTEMS, INC.",H8ECS38338,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Mobile,AL,36693-3316,Mobile,AL-01,2020,"$117,709.00"
Altura Centers For Health,H8CCS34105,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Tulare,CA,93274-2233,Tulare,CA-22,2020,"$71,795.00"
Altura Centers For Health,H8DCS35574,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Tulare,CA,93274-2233,Tulare,CA-22,2020,"$1,005,335.00"
Altura Centers For Health,H8ECS38796,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Tulare,CA,93274-2233,Tulare,CA-22,2020,"$514,864.00"
American Indian Health & Services,H8CCS34027,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Santa Barbara,CA,93110-1850,Santa Barbara,CA-24,2020,"$55,512.00"
American Indian Health & Services,H8DCS35820,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Santa Barbara,CA,93110-1850,Santa Barbara,CA-24,2020,"$627,710.00"
American Indian Health & Services,H8ECS38953,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Santa Barbara,CA,93110-1850,Santa Barbara,CA-24,2020,"$203,464.00"
AMISTAD COMMUNITY HEALTH CENTER.,H8CCS35323,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Corpus Christi,TX,78410-2238,Nueces,TX-27,2020,"$63,226.00"
AMISTAD COMMUNITY HEALTH CENTER.,H8DCS36493,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Corpus Christi,TX,78410-2238,Nueces,TX-27,2020,"$734,210.00"
AMISTAD COMMUNITY HEALTH CENTER.,H8ECS38915,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Corpus Christi,TX,78410-2238,Nueces,TX-27,2020,"$246,574.00"
"AMITE COUNTY MEDICAL SERVICES, INC.",H8CCS34812,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Liberty,MS,39645-7295,Amite,MS-03,2020,"$54,728.00"
"AMITE COUNTY MEDICAL SERVICES, INC.",H8DCS36191,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Liberty,MS,39645-7295,Amite,MS-03,2020,"$588,440.00"
"AMITE COUNTY MEDICAL SERVICES, INC.",H8ECS38723,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Liberty,MS,39645-7295,Amite,MS-03,2020,"$157,459.00"
AMMONOOSUC COMMUNITY HEALTH SERVICES INC,H8CCS34515,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Littleton,NH,03561-3712,Grafton,NH-02,2020,"$58,400.00"
AMMONOOSUC COMMUNITY HEALTH SERVICES INC,H8DCS36218,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Littleton,NH,03561-3712,Grafton,NH-02,2020,"$693,410.00"
AMMONOOSUC COMMUNITY HEALTH SERVICES INC,H8ECS38353,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Littleton,NH,03561-3712,Grafton,NH-02,2020,"$260,044.00"
AMOSKEAG HEALTH,H8CCS34522,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Manchester,NH,03101-1235,Hillsborough,NH-01,2020,"$66,772.00"
AMOSKEAG HEALTH,H8DCS36223,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Manchester,NH,03101-1235,Hillsborough,NH-01,2020,"$829,895.00"
AMOSKEAG HEALTH,H8ECS38189,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Manchester,NH,03101-1235,Hillsborough,NH-01,2020,"$318,619.00"
AMPLA HEALTH,H8CCS34242,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Yuba City,CA,95991-4217,Sutter,CA-03,2020,"$125,351.00"
AMPLA HEALTH,H8DCS35625,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Yuba City,CA,95991-4217,Sutter,CA-03,2020,"$2,039,045.00"
AMPLA HEALTH,H8ECS37712,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Yuba City,CA,95991-4217,Sutter,CA-03,2020,"$1,199,164.00"
"Anchorage Neighborhood Health Center, Inc.",H8CCS33988,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Anchorage,AK,99503-7174,Anchorage,AK-00,2020,"$62,899.00"
"Anchorage Neighborhood Health Center, Inc.",H8DCS35379,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Anchorage,AK,99503-7174,Anchorage,AK-00,2020,"$755,705.00"
"Anchorage Neighborhood Health Center, Inc.",H8ECS38165,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Anchorage,AK,99503-7174,Anchorage,AK-00,2020,"$271,039.00"
Anderson Valley Health Center,H8CCS34028,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Boonville,CA,95415-9133,Mendocino,CA-02,2020,"$52,794.00"
Anderson Valley Health Center,H8DCS35783,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Boonville,CA,95415-9133,Mendocino,CA-02,2020,"$554,705.00"
Anderson Valley Health Center,H8ECS38344,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Boonville,CA,95415-9133,Mendocino,CA-02,2020,"$137,404.00"
"Anson Regional Medical Services, Inc.",H8CCS34563,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Wadesboro,NC,28170-2155,Anson,NC-09,2020,"$53,059.00"
"Anson Regional Medical Services, Inc.",H8DCS36359,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Wadesboro,NC,28170-2155,Anson,NC-09,2020,"$561,335.00"
"Anson Regional Medical Services, Inc.",H8ECS38755,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Wadesboro,NC,28170-2155,Anson,NC-09,2020,"$142,099.00"
Anthony L. Jordan Health Corporation,H8CCS35127,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Rochester,NY,14605-2131,Monroe,NY-25,2020,"$67,970.00"
Anthony L. Jordan Health Corporation,H8DCS36566,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Rochester,NY,14605-2131,Monroe,NY-25,2020,"$952,970.00"
Anthony L. Jordan Health Corporation,H8ECS37673,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),Rochester,NY,14605-2131,Monroe,NY-25,2020,"$512,269.00"
APICHA COMMUNITY HEALTH CENTER,H8CCS35130,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),New York,NY,10013-3698,New York,NY-10,2020,"$55,858.00"
APICHA COMMUNITY HEALTH CENTER,H8DCS36587,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",New York,NY,10013-3698,New York,NY-10,2020,"$616,955.00"
APICHA COMMUNITY HEALTH CENTER,H8ECS38938,FY 2020 Expanding Capacity for Coronavirus Testing (ECT) (H8E),New York,NY,10013-3698,New York,NY-10,2020,"$183,784.00"
APLA HEALTH & WELLNESS,H8CCS34075,FY 2020 Coronavirus Supplemental Funding for Health Centers (H8C),Los Angeles,CA,90005-2319,Los Angeles,CA-34,2020,"$59,966.00"
APLA HEALTH & WELLNESS,H8DCS35781,"Health Center Coronavirus Aid, Relief, and Economic Security (CARES) Act Funding (H8D)",Los Angeles,CA,90005-2319,Los Angeles,CA-34,2020,"$694,205.00"
