Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,9175,405
114148480355756,Yes on Prop 16,"Yes on 16, Opportunity for All Coalition, sponsored by civil rights organizations. Committee major funding from: M. Quinn Delaney, Kaiser Foundation Health Plan, Inc. and the Hospitals, Patricia Quillin.",9108,18
109315194267683,Vote Early 2020,Priorities USA,9071,180
314499212242,Pfizer,Pfizer Inc.,9028,29
6165653060,AFSCME,"Paid for by the American Federation of State, County & Municipal Employees PEOPLE, afscme.org/afscme-people. Not authorized by any candidate or candidate’s committee.",9023,38
112479700577922,Trump For Georgia,"DONALD J. TRUMP FOR PRESIDENT, INC.",9018,9
103983379801,Texas Democratic Party,SUPER STATES 2020,9010,250
6815841748,Barack Obama,BIDEN FOR PRESIDENT,8971,64
828902563856302,Chuck Schumer D-NY,FRIENDS OF SCHUMER,8949,14
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,8853,47
163303407407167,State of Great MN,Coalition of Minnesota Businesses,8843,50
302182941354,AARP Advocates,AARP,8801,64
1552675688372326,Color Of Change PAC,Priorities USA Action and Color of Change PAC. (202) 455-8428. (646) 395-3711. Not authorized by any candidate or candidate's committee.,8776,356
110124618713,American Principles Project,AMERICAN PRINCIPLES PROJECT PAC,8699,47
223055747744143,Beto O'Rourke,Powered By People,8678,290
1435148843426547,SEIU Florida,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),8667,72
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",8621,34
102291391641646,Daines Out for Himself,MONTANANS FOR BULLOCK,8616,14
110746996993983,The 'Gander Newsroom,"Courier Newsroom, Inc.",8609,173
104560737874043,YES on 108,Yes for a Healthy Future,8571,31
100969075095884,Wisconsin Votes Trump Out,TECH FOR CAMPAIGNS,8513,17
19972147679,SEIU,SEIU,8412,74
296207827414521,NRCC IE,NRCC,8358,74
158791100909689,Concerned Veterans for America,Concerned Veterans for America,8325,37
9324910069,NRSC,NRSC,8181,165
278478315828826,CNN Original Series,WarnerMedia LLC,8171,55
133666160060982,Senate Majority PAC,SMP,8163,2
580610428636345,Fight for $15,Fight for $15,8094,104
108160457260764,Jessica King for Wisconsin,JESSICA KING FOR WISCONSIN,8040,3
106158314342739,Facts First,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,7889,187
79125112926,Students for Life of America,"STUDENTS FOR LIFE OF AMERICA, INC.",7838,58
1428283027462702,Restoration PAC,RESTORATION PAC,7837,135
370939753393588,Invest in Education Arizona,Invest in Education. (Sponsored by AEA and Stand for Children). Not authorized by any candidate.,7828,126
43287633515,Alliance for Climate Education,Alliance for Climate Education,7825,650
101927028250230,American Liberty Fund,AMERICAN LIBERTY FUND,7825,41
514649125971110,EDF Action Votes,EDF Action Votes INC,7816,47
475456956305422,All Voting Is Local,Leadership Conference Education Fund,7807,60
103278728094811,CA Family Farmers Against Prop 15,Family Farmers Against Prop 15 – Stop Higher Food Taxes,7783,40
304435663079126,iAmerica,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),7745,27
6726182861,Mike Pence,"DONALD J. TRUMP FOR PRESIDENT, INC.",7629,207
109092142462587,Adam Schiff,SCHIFF FOR CONGRESS,7587,31
170980280933,PA Democratic Party,PENNSYLVANIA DEMOCRATIC PARTY,7551,27
679171239164792,Supermajority,"Supermajority PAC, https://supermajority.com/pac/. Not authorized by any candidate or candidate's committee.",7544,444
328853823844484,Balance of Power,Balance of Power,7544,764
320437294638279,Campus Vote Project,FAIR ELECTIONS CENTER,7534,60
106928861137262,Global Final Expense Assistance,Kohv8,7530,181
46093654473,National Republican Congressional Committee,NRCC,7510,88
72825284566,Iowa Democratic Party,IOWA DEMOCRATIC PARTY,7290,25
1419388578092947,Anna Paulina Luna,ANNA PAULINA LUNA FOR CONGRESS,7277,35
168051710543266,Lacy Johnson,Lacy Johnson for Congress,7227,162
92925746942,Judicial Watch,Judicial Watch,7189,219
100863158148988,Commonwealth Communications,Commonwealth Communications,7160,25
229422593795044,State Government Leadership Foundation,State Government Leadership Foundation,7137,48
108407684321531,Yes on Amendment B,Yes on Amendment B,7123,18
103983379801,Texas Democratic Party,Texas Democratic Party,7117,71
323493358004749,Progress Florida Education Institute,"Progress Florida Education Institute, Inc.",7106,10
106796184493774,NRDC Action Votes,NRDC ACTION VOTES,7012,6
114710126648118,Republican Dogs,Republican Dogs,6997,753
192013990902459,Roy Cooper,Cooper For North Carolina,6995,26
143528022388140,The Allstate Foundation,The Allstate Foundation,6953,4
773318219355600,The Board of Elections in the City of New York,Board of Elections in the City of New York,6910,24
163684173651518,SEIU Local 2015,SEIU LOCAL 2015,6892,71
25852730092,Care2,Care2 Inc,6873,107
103597604713894,Team Trump Store,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,6810,371
104594437967116,Yes on 19,"Yes on 19: Seniors, Taxpayer Advocates, and Realtors (FPPC ID# 1400190)",6792,13
2081864865362439,Mike Espy,MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,6786,426
215653202574079,Future Majority,"Future Majority, Inc",6721,88
162676813937511,Dan Forest,Committee to Elect Dan Forest,6694,32
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,6557,43
20787991568,Senate Democrats,DSCC,6518,121
39813692310,Michigan Democratic Party,the Michigan Democratic Party,6505,40
884338481699010,FLIC Votes,Win Justice,6443,24
111450610712205,Texans Vote,Texas HDCC,6383,43
195977017513200,New American Jobs Fund,"Paid for by New American Jobs Fund, www.newamericanjobsfund.org, and not authorized by any candidate or candidate’s committee.",6335,2
23790541544,Democrats,DCCC,6248,218
155556224849458,Clean Missouri,Clean Missouri,6245,4
2078647579047586,Project Pulso,Pulso,6242,52
471134912978464,Alex Padilla,"Alex Padilla Ballot Measure Committee for Democracy and Justice – Yes on Propositions 16, 17 and 18",6166,5
6165653060,AFSCME,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,6164,21
907919839243616,My Faith Votes,My Faith Votes,6160,146
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",6069,37
218295086290055,American Leadership Committee,"American Leadership Committee, and not authorized by any candidate.",6068,206
102281264932254,The Southern Strategy,Southern Strategy,6050,158
567371470277443,The Wilderness Society Action Fund,The Wilderness Society Action Fund,6050,6
2246364628908665,Uniting Missouri,Uniting Missouri,6039,3
105010030848236,Bryant Cameron Webb,DR. CAMERON WEBB FOR CONGRESS,6028,71
101246991753159,Pennsylvania Votes For Biden,TECH FOR CAMPAIGNS,6024,6
104987704684453,Corrupt Thom Tillis,DSCC,5965,4
17023576156,The Leadership Conference on Civil and Human Rights,Leadership Conference Education Fund,5963,83
108635370971125,Home Value Club,Home Value Club,5959,3
216709768355686,Dinesh D'Souza,America2020 Film LLC,5930,82
8325302025,Friends of the Earth U.S.,Friends of the Earth,5900,135
138644937392,SEIU California,SEIU California,5894,11
16477459734,League of Conservation Voters,"LEAGUE OF CONSERVATION VOTERS, INC",5888,81
114852290355716,Dangerous McCormick,DCCC,5843,6
215968684159,AFT - American Federation of Teachers,American Federation of Teachers,5836,145
289544064711784,Progress North Carolina,Progress North Carolina,5828,131
1338822066131069,Women's March,Women's March,5820,180
110029657470938,American Advancement,"American Advancement, Inc.",5813,6
1524020107726785,Duty & Country,DUTY AND COUNTRY,5813,15
205395906412,UAW International Union,"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AM",5780,207
96935476345,Democratic Governors Association (DGA),DEMOCRATIC ACTION,5756,78
852784198406948,Boy Scouts Investigation,X Social Media LLC,5756,3
126660277417565,Engage Michigan,Engage Michigan,5753,8
109379100777665,Patriotism Isn't Dead,Patriot Polling,5678,32
7976226799,The Daily Show,Comedy Central,5604,46
241672016328637,Lauren Underwood for Congress,LAUREN UNDERWOOD FOR CONGRESS,5570,123
2811385199180287,Smart & Safe Arizona,Smart and Safe Arizona. Not authorized by any candidate.,5560,24
219743612121412,New Hampshire Campaign for Voting Rights,AMERICA VOTES,5537,48
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,5535,28
117144508670456,GUNVOTE,National Shooting Sports Foundation,5520,17
195530355493,Chicks On The Right,Chicks on the Right,5500,64
2046092952294722,Lucy McBath for Congress,FRIENDS OF LUCY MCBATH,5491,22
179204028758675,California Secretary of State,California Secretary of State with Facebook Ad Credits,5485,6
309308412520731,Sandy Hook Promise,Sandy Hook Promise,5429,191
504161563089343,BlackPAC,Black PAC,5423,97
104041274805339,North Star Alaska,NORTH STAR,5402,2
22561081832,NRA Institute for Legislative Action,National Rifle Association of America,5348,18
112325855474892,Speak Up For Education and Kids,National Education Association,5341,2477
23875187730,Feeding America,Feeding America,5317,34
222778077862868,Crime Survivors for Safety and Justice,Alliance for Safety and Justice,5276,128
102540204580217,UpNorthNews,"Courier Newsroom, Inc.",5251,134
104614641200137,MeidasTouch,MEIDASTOUCH,5250,131
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,5216,11
120385229791091,54 Peaks,SMP,5166,4
106667474170866,A Better Wisconsin Together,"A Better Wisconsin Together, Inc.",5157,57
106663044307859,Mike Sievert,"T-MOBILE USA, INC.",5145,6
417522508294454,Job Creators Network,Job Creators Network,5134,90
114192057073255,Fight for Our Heroes,Fight for Our Heroes,5127,19
101124285081266,Juntos Somos Más,SMP,5061,4
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,5054,132
105594977748727,Maine Together,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,5040,18
776519762498598,Count MI Vote,COUNT MI VOTE,5039,26
108162940871582,Commonwealth Leaders Fund,Commonwealth Leaders Fund,5000,5
107553074295243,Climate Vote MN,Climate Vote MN,5000,17
42872222699,Dana Loesch,Dana Loesch Radio,5000,29
702569496808519,Where They Stand Texas,Forward Majority Action Texas,5000,36
100508871826717,DAGA PLP North Carolina,DAGA People's Lawyer Project NC,5000,10
100549158311392,Students Learn Students Vote Coalition,National Conference on Citizenship,5000,5
111383964013784,Millions of Michiganians,MILLIONS OF MICHIGANIANS,5000,22
111173387386506,BBCC: Barbershop and Black Congregation Cooperative,Faith in Minnesota,5000,12
113666459994300,Big Dan Rodimer for Congress,RODIMER FOR CONGRESS,5000,23
112638683935186,Ohioans for Justice and Integrity,Ohioans for Justice and Integrity,5000,21
238268493699279,Where They Stand Florida,Forward Majority Action Florida,5000,45
101352851565699,Somos PAC,SOMOS PAC,5000,63
160513344045084,John Neely Kennedy,"John Kennedy for Us, Inc",5000,9
623565561610001,Project Yellowstone,Project Yellowstone,5000,14
212799632483,"SEMCOG, Southeast Michigan Council of Governments",The Southeast Michigan Council of Governments,5000,9
109806407493412,Philly Votes 2020,Philly Votes 2020,5000,36
330648134122956,New Direction New Jersey,New Direction New Jersey,5000,46
154753361224926,CASA in Action,CASA in Action Inc,5000,44
312208869424760,Field Team 6,Field Team 6,5000,25
120547365195,National LGBTQ Task Force,These ads ran without a disclaimer,4987,1
29092950651,TED,TED Conferences,4984,72
103531607822207,Noticias para Inmigrantes,"Wise Rock Media, PBC",4978,90
209516845093,NRDC Action Fund,NRDC Action Fund,4973,340
519590768083165,Abby Finkenauer for Congress,FINKENAUER FOR CONGRESS,4878,26
109982877529134,Defend American Democracy,Defend American Democracy,4865,8
2425289201023841,Stephen D. Pennington for Tax Assessor,VotePennington.com,4863,23
106572950040377,Max Rose,MAX ROSE FOR CONGRESS,4845,72
56680318666,Illinois Policy,Illinois Policy,4836,46
5435784683,Greenpeace USA,"GREENPEACE, INC.",4814,19
706716899745696,Women for Trump,"DONALD J. TRUMP FOR PRESIDENT, INC.",4774,88
280273942699165,Where They Stand Arizona,Forward Majority Action Arizona,4743,20
167606528159,Dockers,Levi Strauss & Co.,4725,20
698865983845402,Show Up To Vote,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",4722,36
530741820314892,Californians for Safety and Justice,Californians for Safety and Justice,4722,8
126862261837,SEIU Nevada,"SEIU Political and Education Action Fund, seiu.org. Not authorized by any candidate or candidate's committee.",4707,43
601866646490885,Ohio Voter Rights Coalition,Common Cause,4683,10
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,4645,44
36872302227,Cory Booker,Cory Booker for Senate,4617,18
110026044048401,No on Prop 22,"No on Prop 22, sponsored by Labor Organizations. Committee major funding from International Brotherhood of Teamsters United Food and Commercial Workers International Union CLC and Service Employees International Union",4596,24
101432825019214,Republicans & Independents for Biden,The Lincoln Project,4564,41
104369968066690,No Prop 208,Arizonans for Great Schools and a Strong Economy,4549,10
1107973016071967,Wesley Hunt,Hunt for Congress,4542,19
137855609584310,TBN,TRINITY BROADCASTING NETWORK INC,4500,3
1643411132380588,DefendArizona,DEFEND ARIZONA. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.,4497,20
333710103706307,Giffords,GIFFORDS PAC,4447,3
107677287710124,Amendment 2 Hurts You,Amendment 2 Hurts You,4391,93
894096170667732,Ashley Hinson,Ashley Hinson For Congress,4388,403
335637374881,N.C. State Board of Elections,North Carolina State Board of Elections with Facebook Ad Credits,4363,6
80562389320,NARAL Pro-Choice America,NARAL Freedom Fund,4338,5
658739734196897,CVS Health,CVS HEALTH CORPORATION,4333,8
102124351512582,Yes On 118: Colorado Families First,Colorado Families First,4327,33
213792049451918,Stand For America,Stand For America Inc,4298,47
112466103920096,Georgia Rising,SMP,4254,6
170591064699,Southern Poverty Law Center,"SOUTHERN POVERTY LAW CENTER, INC., THE",4231,24
38446954722,Florida Planned Parenthood Alliance,Florida Alliance of Planned Parenthood Affiliates,4212,22
180060629247353,Elaine Luria for Congress,ELAINE FOR CONGRESS,4207,10
1883837055193241,Shield Republic,Shield Republic,4206,834
132492254050920,American AF,AAF Nation,4193,128
152561628240904,SEIU PA State Council,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),4187,38
6820348410,Kirsten Gillibrand,Off the Sidelines,4183,30
110231297470727,Stronger Missouri,"STRONGER MISSOURI PAC, LINDA LOCKE, TREASURER",4164,2
106962681174716,Padres y familias por Efren Martinez para Assembly 2020,Padres y familias por Efren Martinez para Assembly 2020 patrocinado por EdVoice,4164,20
1934158976830122,Sean Casten for Congress,CASTEN FOR CONGRESS,4154,14
106114264313679,Hunt The Vote,"Hunter Nation, Inc",4153,18
