Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
104919517531062,Vote Yes For Fairness,Vote Yes for Fairness,51827,77
538649879867825,Red Table Talk,"Facebook, Inc.",50586,4
242077219243971,The Presidential Coalition,The Presidential Coalition,50162,195
105756057589080,The Lincoln Project,The Lincoln Project,48107,259
309798029121030,Everytown for Gun Safety,EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND),45092,64
114148480355756,Yes on Prop 16,"Yes on 16, Opportunity for All Coalition, sponsored by civil rights organizations. Committee major funding from: M. Quinn Delaney, Kaiser Foundation Health Plan, Inc. and the Hospitals, Patricia Quillin.",44132,9
114904113668632,Trump For Florida,"DONALD J. TRUMP FOR PRESIDENT, INC.",41597,117
101229485069553,America Votes Trump Out,TECH FOR CAMPAIGNS,40371,68
110762610521896,More Than A Vote,"More Than A Vote, Inc",39998,11
108831660841719,Stop the Illinois Tax Hike Amendment,Coalition to Stop the Proposed Tax Hike Amendment,39912,157
129255907131113,NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,39569,209
165987503528599,Lindsey Graham,"TEAM GRAHAM, INC.",36546,100
1615018905412860,Progressive Turnout Project,PROGRESSIVE TURNOUT PROJECT,36092,280
103472678159706,Preserve America PAC,PRESERVE AMERICA PAC,35949,42
40912053758,Ohio Republican Party,Ohio Republican Party,33726,115
95483488591,Democratic Party of Wisconsin,DEMOCRATIC PARTY OF WISCONSIN,33567,5
108103774350322,We the People 2020,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,33478,301
261663760956534,America First Policies,America First Policies Inc,33349,198
20787991568,Senate Democrats,DSCC,32991,380
108103774350322,We the People 2020,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,32642,298
428821014132730,Katie Porter,Katie Porter For Congress,32189,130
228754857151053,House Majority PAC,House Majority PAC,32090,335
309798029121030,Everytown for Gun Safety,Everytown for Gun Safety Action Fund Inc,31920,493
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",31357,356
1721333671443168,Majority Forward,MAJORITY FORWARD,29109,20
9002965673,Freeform,Freeform,28311,29
259130650776119,Mitch McConnell,MCCONNELL SENATE COMMITTEE,27367,17
830121337093232,National Democratic Training Committee,NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC,27133,112
111201130682281,One North Carolina,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,26434,12
179204028758675,California Secretary of State,California Secretary of State,25998,4
1155212867963791,AFP Action,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",25004,245
537492463326062,WestGame,These ads ran without a disclaimer,24863,13
104856814505092,The Kids Guide,The Kids Guide,24527,67
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,23809,398
102291391641646,Daines Out for Himself,MONTANANS FOR BULLOCK,23791,24
2330577043935831,Sara Gideon,SARA GIDEON FOR MAINE,23584,113
100609191787271,Common Sense Voters Of America LLC,Common Sense Voters of America LLC,23347,13
22561081832,NRA Institute for Legislative Action,NRA Victory Fund,23216,86
101278694809805,Meme2020,Meme2020,22583,29
24330467048,Americans for Prosperity,AMERICANS FOR PROSPERITY,22439,308
443329669123990,USAFacts,USAFacts Institute,21752,128
101525041616176,Power the Polls,Power The Polls,21155,860
127755494595870,Progressive Takeover,PROGRESSIVE TAKEOVER,20936,26
106487520883333,Cardinal & Pine,"Courier Newsroom, Inc.",20901,310
24413227922,Kamala Harris,BIDEN FOR PRESIDENT,20264,240
602714436529710,End Citizens United,END CITIZENS UNITED,19911,198
114971076538782,The Keystone,"Courier Newsroom, Inc.",19760,277
176789922364429,Steve Daines,STEVE DAINES FOR MONTANA,19338,176
344690446467832,The Copper Courier,"Courier Newsroom, Inc.",19066,197
683872625157265,Theresa Greenfield,THERESA GREENFIELD FOR IOWA,18840,74
103983379801,Texas Democratic Party,SUPER STATES 2020,18806,200
1553040531666224,Independence USA,Independence USA PAC,18723,2223
302182941354,AARP Advocates,AARP,18646,51
223055747744143,Beto O'Rourke,Powered By People,18393,34
24902886692,Coach,"TAPESTRY, INC.",18377,6
278490715553293,Martha McSally,MCSALLY FOR SENATE INC,18235,383
248833449184369,Boost the News,ACRONYM,18227,1553
104263254713855,Register to Vote Republican,REPUBLICAN NATIONAL COMMITTEE,18218,305
8934429638,Planned Parenthood Action,Planned Parenthood Votes,17895,178
101183127996396,Four Is Enough,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",17876,124
605168822998856,314 Action,314 ACTION FUND,17369,31
1336293769761923,Jon Ossoff,JON OSSOFF FOR SENATE,16716,132
327837911149503,2A4Life,2A4LIFE LLC,16692,124
260754507296508,The Voter Participation Center,Voter Participation Center,16617,2468
110749446963570,Courier,"Courier Newsroom, Inc.",16419,912
7833534974,Florida Democratic Party,Florida Democratic Party,16389,224
700806360047982,CFG Action,Club for Growth Action,16076,64
107237344474393,Montana Speaks Out,MONTANANS FOR BULLOCK,15807,10
109111900634787,Reverend Raphael Warnock,WARNOCK FOR GEORGIA,15779,164
101575038360158,Florida Votes Trump Out,TECH FOR CAMPAIGNS,15527,54
97493741436,John W. Hickenlooper,HICKENLOOPER FOR COLORADO,15484,68
163148530407080,Captain Mark Kelly,MARK KELLY FOR SENATE,15456,64
1576552839287418,Senate Leadership Fund,Senate Leadership Fund,15289,121
101329438317952,Story Network Action,Story Network Foundation,15251,11
278478315828826,CNN Original Series,"Turner Broadcasting Sales, Inc",15112,66
108464460953715,2020 Priorities,DCCC,15090,40
149509599222913,No On Prop 21,No on Prop 21: Californians for Responsible Housing,15081,124
1556932204325823,ProgressPop,ProgressPop,15000,535
222778077862868,Crime Survivors for Safety and Justice,Alliance for Safety and Justice,14302,207
121111592617739,Secure the Vote Georgia,Georgia Secretary of State,14266,54
1600352356914768,PushBlack,PushBlack,14214,87
106627181062791,South Carolina Signal,JAIME HARRISON FOR US SENATE,14208,53
268713027333418,The Georgia Action Fund,Georgia Action Fund,14178,9
105039111350283,Florida - Register to Vote by October 5,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,13922,20
1032024236842744,Marsy's Law for Kentucky,"Marsy's Law for Kentucky, LLC",13810,87
6713653788,Gary Peters,PETERS FOR MICHIGAN,13739,133
10150100007820094,Wendy Davis,WENDY DAVIS FOR CONGRESS,13492,358
747436915270894,Congressional Leadership Fund,CONGRESSIONAL LEADERSHIP FUND,12899,153
105479921284817,Trump For Michigan,"DONALD J. TRUMP FOR PRESIDENT, INC.",12687,539
819607471729183,Dr. Al Gross for US Senate,DR. AL GROSS FOR U.S. SENATE,12427,48
108821207621435,A Better Wisconsin Together Institute,"A Better Wisconsin Together Institute, Inc.",12240,96
103597034685122,Vote Like A Madre,LATINO VICTORY PROJECT,12208,230
2078647579047586,Project Pulso,Pulso,11988,58
106158314342739,Facts First,Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee.,11928,158
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,11922,42
101591204987294,Forward Arizona,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,11815,6
113891694102,Energy Citizens,AMERICAN PETROLEUM INSTITUTE,11621,386
2352630938293825,Mytacticalpromos,Entremax,11527,148
107654924064350,Pat Timmons-Goodson,PATRICIA TIMMONS-GOODSON FOR CONGRESS,11485,70
156994304362574,American Bridge 21st Century,AB PAC,11469,34
110746996993983,The 'Gander Newsroom,"Courier Newsroom, Inc.",11331,95
152222811464994,One Arizona,One Arizona,11328,45
69983322463,Ted Cruz,TED CRUZ FOR SENATE,10861,72
109097990639753,Unite for Colorado,Unite for Colorado,10825,5
24413227922,Kamala Harris,BIDEN VICTORY FUND,10773,128
314499212242,Pfizer,Pfizer Inc.,10691,25
96935476345,Democratic Governors Association (DGA),Democratic Governors Association,10689,303
289446947817747,Global Citizen,"GLOBAL POVERTY PROJECT, INC.",10490,27
46093654473,National Republican Congressional Committee,NRCC,10365,35
106244251043808,Reuse Plastics,"AMERICAN CHEMISTRY COUNCIL, INC.",10334,94
104684067632334,Unite the Country,UNITE THE COUNTRY,10329,131
26006662641,Arizona Democratic Party,Arizona Democratic Party,10298,61
105732744375701,Steve Bullock,MONTANANS FOR BULLOCK,10055,317
1061240530648502,Joe Collins,JOE COLLINS FOR CONGRESS,10015,46
326974419055,Xfinity,COMCAST CORPORATION,9953,5
1635441679872518,Kimberly Klacik,Kim Klacik for Congress,9908,55
2267285956849056,Donald Trump 2020 Fans,I Love My Freedom,9746,241
109894877501594,Steve Daines Follows The Money,DSCC,9744,72
104673218071670,America Votes For Biden,TECH FOR CAMPAIGNS,9633,10
1676291615740480,Yes on 21,Homeowners and Tenants United,9542,134
102281264932254,The Southern Strategy,Southern Strategy,9486,128
168051710543266,Lacy Johnson,Lacy Johnson for Congress,9342,66
106855926042343,The New Florida Majority,Win Justice,9313,42
1552675688372326,Color Of Change PAC,Priorities USA Action and Color of Change PAC. (202) 455-8428. (646) 395-3711. Not authorized by any candidate or candidate's committee.,9111,352
504161563089343,BlackPAC,Black PAC,9004,61
192013990902459,Roy Cooper,Cooper For North Carolina,8953,25
110026044048401,No on Prop 22,"No on Prop 22, coalition to protect riders and drivers sponsored by CA labor. Committee major funding from International Brotherhood of Teamsters Service Employees International Union United Healthcare Workers West State Building and Construction Trades Council of California",8848,36
9324910069,NRSC,NRSC,8823,156
1338822066131069,Women's March,Women's March,8628,214
2246364628908665,Uniting Missouri,Uniting Missouri,8605,3
328853823844484,Balance of Power,Balance of Power,8604,582
110018833813683,Flip the Senate,SMP,8600,227
580610428636345,Fight for $15,Fight for $15,8556,75
70874333603,CatholicVote,catholicvote.org,8544,49
748857881986418,Montana True,SMP,8535,36
296207827414521,NRCC IE,NRCC,8440,68
111450610712205,Texans Vote,Texas HDCC,8394,42
85452072376,Newsmax,"NEWSMAX MEDIA, INC.",8304,24
158791100909689,Concerned Veterans for America,Concerned Veterans for America,8292,37
1358750594178363,Illinois State Board of Elections,Illinois State Board of Elections with Facebook Ad Credits,8198,6
109131637582529,Trump for Ohio,"DONALD J. TRUMP FOR PRESIDENT, INC.",8196,20
6165653060,AFSCME,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,8184,31
320437294638279,Campus Vote Project,FAIR ELECTIONS CENTER,8168,41
95181800661,Levi's,Levi's®,8122,126
491878397627090,Florida Watch,"Florida Watch, Inc.",8109,18
112479700577922,Trump For Georgia,"DONALD J. TRUMP FOR PRESIDENT, INC.",8003,12
442553959494293,Pay Up Climate Polluters,Center for Climate Integrity,7942,27
110124618713,American Principles Project,AMERICAN PRINCIPLES PROJECT PAC,7912,43
1456310534453054,Veteran Loans Online,"LMB OpCo, LLC",7791,47
108692310594568,UNITE HERE,UNITE HERE PAC,7787,19
1435148843426547,SEIU Florida,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),7685,62
133666160060982,Senate Majority PAC,SMP,7654,2
2353537341582545,Proud Patriots,Proud Patriots,7653,420
108182477657777,Georgia United Victory,Georgia United Victory,7632,21
828902563856302,Chuck Schumer D-NY,FRIENDS OF SCHUMER,7482,31
1764306443784870,PL+US Action Fund,PLUS ACTION FUND,7472,35
172758932738142,PhRMA,PHARMACEUTICAL RESEARCH AND MANUFACTURERS OF AMERICA,7432,49
679171239164792,Supermajority,"Supermajority PAC, https://supermajority.com/pac/. Not authorized by any candidate or candidate's committee.",7302,440
2081864865362439,Mike Espy,MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,7265,416
19972147679,SEIU,SEIU,7207,59
215653202574079,Future Majority,"Future Majority, Inc",7203,54
1145019702185006,Alliance for Safety and Justice,Alliance for Safety and Justice,7151,72
104510688080741,"North Carolina: To Be Safe, Vote Early",DSCC,7034,32
143528022388140,The Allstate Foundation,The Allstate Foundation,7030,4
105577974544303,The USA Needs More Patriots,AmeriPolling,7028,28
55549065733,Voto Latino,Voto Latino with Facebook Ad Credits,7015,28
229422593795044,State Government Leadership Foundation,State Government Leadership Foundation,7005,48
100982558170342,America Benefits Today,Dollar Informer,6909,2
106224464107240,Jo Jorgensen,Jo Jorgensen for President,6902,108
102972678133490,Californians For Equal Rights,"Californians for Equal Rights, No on 16, committee major funding by Students for Fair Admissions (# 1427809).",6880,33
117983638238613,Smirnoff,DIAGEO NORTH AMERICA INC.,6852,2
102540204580217,UpNorthNews,"Courier Newsroom, Inc.",6795,112
126660277417565,Engage Michigan,Engage Michigan,6702,7
113668017062690,Citizens For Free Enterprise,Citizens for Free Enterprise,6701,74
1934191280189700,Health Care Voter,"Change Now, Inc.",6650,30
1765073800454902,Reform Austin,Reform Austin Inc.,6636,73
6726182861,Mike Pence,"DONALD J. TRUMP FOR PRESIDENT, INC.",6621,96
102781694834193,American Herald,America First Action,6594,10
108407684321531,Yes on Amendment B,Yes on Amendment B,6591,3
111455507353353,Multi-Millionaire Mike Garcia,DCCC,6475,6
8325302025,Friends of the Earth U.S.,Friends of the Earth,6310,153
475456956305422,All Voting Is Local,Leadership Conference Education Fund,6279,31
104987704684453,Corrupt Thom Tillis,DSCC,6247,2
102940748211235,Trump for Pennsylvania,"DONALD J. TRUMP FOR PRESIDENT, INC.",6226,207
1387062348242626,Progress Arizona,ProgressNow AZ,6204,57
107210084216238,Humanity Forward,Humanity Forward,6202,26
6204742571,Sierra Club,SIERRA CLUB,6192,200
1073643629446341,Match Masters,These ads ran without a disclaimer,6156,1
104614641200137,MeidasTouch,MEIDASTOUCH,6143,147
171524799646807,PA Department of State,Pennsylvania Department of State,6143,14
586751814690068,Joni Ernst,Joni for Iowa,6085,85
101432825019214,Republicans & Independents for Biden,The Lincoln Project,6069,38
102617961152741,Barbara Bollier,BOLLIER FOR KANSAS,6064,22
100556838454730,Trump For North Carolina,"DONALD J. TRUMP FOR PRESIDENT, INC.",6057,159
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,5991,76
205395906412,UAW International Union,"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AM",5964,177
103983379801,Texas Democratic Party,Texas Democratic Party,5945,59
736198543440939,New Approach Montana,NEW APPROACH MONTANA,5843,24
202851657003895,We Are PA,The Story of Us,5839,18
103075334816156,UFCW Votes,UNITED FOOD AND COMMERCIAL WORKERS INTERNATIONAL UNION,5732,61
323493358004749,Progress Florida Education Institute,"Progress Florida Education Institute, Inc.",5718,4
101591551371555,Fire Mitch. Save America.,SAVE AMERICA FUND,5718,47
18982436812,ACLU,American Civil Liberties Union,5632,153
72825284566,Iowa Democratic Party,IOWA DEMOCRATIC PARTY,5621,18
202578646485690,Senate Majority Fund,Senate Majority Fund,5603,9
56680318666,Illinois Policy,Illinois Policy,5600,113
200224630053159,Ben McAdams,FRIENDS OF BEN MCADAMS,5591,581
179204028758675,California Secretary of State,California Secretary of State with Facebook Ad Credits,5589,6
907919839243616,My Faith Votes,My Faith Votes,5567,147
1486392121670034,Security is Strength PAC,SECURITY IS STRENGTH PAC,5555,2
100150481787475,Yes on J,Committee to Re-Imagine L.A. County,5457,181
114009933764548,The Patriot Club,RightWingGear,5402,8
23875187730,Feeding America,Feeding America,5372,34
7292655492,MoveOn,MOVEON.ORG POLITICAL ACTION,5272,258
461204744067686,Family Protection Association,Family Protection Association,5238,346
104594437967116,Yes on 19,"Yes on 19: Seniors, Taxpayer Advocates, and Realtors (FPPC ID# 1400190)",5225,17
172298889630363,Republican Attorneys General Association,REPUBLICAN ATTORNEYS GENERAL ASSOCIATION,5199,39
19192438096,AAAS - The American Association for the Advancement of Science,American Association for the Advancement of Science,5197,13
984421991732710,Paycheckology,Paycheckology,5192,54
110029657470938,American Advancement,"American Advancement, Inc.",5191,6
200650357207240,I Love My Freedom,I Love My Freedom,5185,104
675471506247724,Adair for Congress,ADAIR FOR CONGRESS,5175,9
429812024048177,Doug Jones for Senate,DOUG JONES FOR SENATE COMMITTEE,5158,318
2811385199180287,Smart & Safe Arizona,Smart and Safe Arizona. Not authorized by any candidate.,5142,20
106572950040377,Max Rose,MAX ROSE FOR CONGRESS,5080,34
681745912255844,John Cummings for Congress,CUMMINGS FOR CONGRESS,5058,6
934438026690635,YouGov,YOUGOV AMERICA INC.,5049,241
1765033567057615,Full Frontal with Samantha Bee,WarnerMedia LLC,5004,2
169597416843751,Stand Up America,Stand Up America,5000,29
109806407493412,Philly Votes 2020,Philly Votes 2020,5000,28
103571278142168,Joni Ernst Isn’t On Our Side,DSCC,5000,87
108162940871582,Commonwealth Leaders Fund,Commonwealth Leaders Fund,5000,1
113183307192061,We Make MN,Better Together MN,5000,3
160513344045084,John Neely Kennedy,"John Kennedy for Us, Inc",5000,8
112727840498351,No On Prop 20,No on Prop 20 - Californians Against the Prison Spending Scam,5000,70
111428049989,Cal Cunningham,CAL FOR NC,5000,17
513695272011123,The Genesis Prize,GPF NA LLC,5000,6
108602994315204,Yes on Measure RR - LAUSD School Bond,"Yes on Measure RR - Committee for Safe, Updated, Modernized Schools",5000,270
2038477456439436,Veterans For Responsible Leadership,Veterans For Responsible Leadership,5000,38
289544064711784,Progress North Carolina,Progress North Carolina,5000,78
238268493699279,Where They Stand Florida,Forward Majority Action Florida,5000,45
39813692310,Michigan Democratic Party,the Michigan Democratic Party,4996,42
524552160894543,Ohio Organizing Collaborative,Ohio Organizing Collaborative,4994,6
2385326588383789,Move Health Care Forward NJ,Move Health Care Forward NJ Inc,4984,101
213792049451918,Stand For America,Stand For America Inc,4983,54
501268180023938,Ann Ravel for CA State Senate,Ann Ravel for Senate 2020,4977,14
103278728094811,CA Family Farmers Against Prop 15,Family Farmers Against Prop 15 – Stop Higher Food Taxes,4969,45
277005566267077,Blueland,Blueland,4958,34
106187594572737,Save the Vote,End Citizens United Non-federal,4937,418
106114264313679,Hunt The Vote,"Hunter Nation, Inc",4893,17
105594977748727,Maine Together,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,4815,8
115700478533045,Progress North Carolina Action,Progress NC Action,4764,35
25852730092,Care2,Care2 Inc,4703,20
215199482635728,Alek Skarlatos,ALEK FOR OREGON,4690,26
593289284500311,Trump Rack,BOXD Marketing,4646,63
111581113532778,Yes on 2: Ranked Choice Voting,Ranked Choice Voting 2020 Committee,4617,27
113581127016514,City of New York Government,City of New York,4612,32
27670195475,Alliance for a Better Minnesota,Alliance for a Better Minnesota Action Fund,4446,506
2046092952294722,Lucy McBath for Congress,FRIENDS OF LUCY MCBATH,4444,16
18957518672,Rock the Vote,Rock The Vote,4440,6
103548911154638,Rural America 2020,Rural America Fund,4430,10
1643411132380588,DefendArizona,DEFEND ARIZONA. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.,4421,20
167606528159,Dockers,Levi Strauss & Co.,4419,4
109944567501859,Trump for Arizona,"DONALD J. TRUMP FOR PRESIDENT, INC.",4417,176
717115395103069,PrintedKicks,Printed Kicks,4413,14
80562389320,NARAL Pro-Choice America,NARAL Freedom Fund,4383,3
132492254050920,American AF,AAF Nation,4382,127
1012679305536045,Elissa Slotkin for Congress,ELISSA SLOTKIN FOR CONGRESS,4377,8
431099560800970,Front Page Live,"Front Page Live, Inc.",4360,92
335637374881,N.C. State Board of Elections,North Carolina State Board of Elections with Facebook Ad Credits,4345,6
102271454896215,Black Men Vote,BLACK MEN VOTE,4336,18
101352851565699,Somos PAC,SOMOS PAC,4293,49
107038924352529,Big Money Mark Kelly,NRSC,4286,33
241672016328637,Lauren Underwood for Congress,LAUREN UNDERWOOD FOR CONGRESS,4212,36
118714808054,Mi Familia Vota,Mi Familia Vota,4203,5
355316521236121,John Cornyn,TEXANS FOR SENATOR JOHN CORNYN INC.,4173,44
102124351512582,Yes On 118: Colorado Families First,Colorado Families First,4170,17
112466103920096,Georgia Rising,SMP,4162,6
112325855474892,Speak Up For Education and Kids,National Education Association,4158,1123
109078987580400,No on Measure J - Protect Essential Workers,"No on Measure J - Protect Essential Workers Sponsored by labor groups representing emergency response workers and other essential workers. Committee major funding from Association for Los Angeles Deputy Sheriffs, Los Angeles County Professional Peace Officers Association",4146,3
103597604713894,Team Trump Store,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,4114,263
5435784683,Greenpeace USA,"GREENPEACE, INC.",4111,48
233280624565048,Stronger Nevada PAC,Stronger Nevada PAC,4073,5
102096898291002,AAPI Vote 2020,DCCC,4049,42
100543878456307,Trump for Wisconsin,"DONALD J. TRUMP FOR PRESIDENT, INC.",4048,192
183893624412,Virginia Department of Elections,Virginia Department of Elections with Facebook Ad Credits,4041,6
266344180585578,Jim Jordan for Congress,JIM JORDAN FOR CONGRESS,4034,4
507322359694737,Change Now,"Change Now, Inc.",4029,5
702569496808519,Where They Stand Texas,Forward Majority Action Texas,4012,36
109321697442806,NC League of Conservation Voters Foundation,NC League of Conservation Voters Foundation,4004,24
104560737874043,YES on 108,Yes for a Healthy Future,4001,7
1413682351987764,Andy Kim for Congress,ANDY KIM FOR CONGRESS,3973,59
108207277708370,Wildest Montana,MONTANANS FOR BULLOCK,3970,4
335265877069930,Kitten Match,These ads ran without a disclaimer,3962,2
206743952696198,Lower My Bills,"LMB OpCo, LLC",3953,31
107553074295243,Climate Vote MN,Climate Vote MN,3932,12
101127364972509,Dems For USA,Dems For USA,3888,101
53674651369,Susan B. Anthony List,Susan B. Anthony List,3880,5
312208869424760,Field Team 6,Field Team 6,3878,4
112492646811151,California Census,CA Census 2020,3861,4
1374134752633656,New Health Plans,Shop Insurance Plans,3784,35
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,3781,245
1316372698453411,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,3777,205
596556607135301,The Earthling Co.,The Earthling Co.,3730,121
130467958471,Jason Lewis,Jason Lewis for Senate,3713,18
852784198406948,Boy Scouts Investigation,X Social Media LLC,3709,2
604038030097923,We Make Michigan,The Story of Us,3703,4
203805062990264,Ben Shapiro,The Daily Wire,3671,17
1055873511190792,Hello Resistance,Hello Resistance Apparel,3669,2
118914636612952,Vote Yes for NJ Jobs,Building Stronger Communities Action Fund,3663,5
49618959325,Jennifer Brunner,Jennifer Brunner Committee,3660,31
1934273516856559,Betsy Dirksen Londrigan,BETSY DIRKSEN LONDRIGAN FOR CONGRESS,3634,85
57403415485,Showtime Networks,Showtime Networks,3634,28
407664862957433,Ammar Campa-Najjar for Congress,AMMAR CAMPA-NAJJAR FOR CONGRESS,3626,204
268709413907753,Our American Century,OUR AMERICAN CENTURY,3623,15
104224114671958,Energy For Progress,The American Petroleum Institute,3613,1103
595923557757009,Tom Kilbride for Supreme Court Judge,Kilbride For Supreme Court Judge,3572,1
1934158976830122,Sean Casten for Congress,CASTEN FOR CONGRESS,3568,6
102172141548735,Outdoors Montana,Montana Democratic Party,3561,2
587835028017559,Eric Holcomb,Eric Holcomb for Indiana,3558,15
750053788435485,Texas Oil and Gas Association,Texas Oil & Gas Association,3549,20
111173387386506,BBCC: Barbershop and Black Congregation Cooperative,Faith in Minnesota,3546,6
118502801658228,Young Kim,Young Kim for Congress,3537,53
118686519962406,NIOSH Aerosol Respirator and Face Shield Protection for The General Public,"Eastern PPE Imports, LLC",3535,9
6820348410,Kirsten Gillibrand,Off the Sidelines,3529,2
19554217292,American Heart Association: You're the Cure,American Heart Association,3500,8
104369968066690,No Prop 208,Arizonans for Great Schools and a Strong Economy,3500,6
21647204289,Michigan Education Association,Michigan Education Association,3498,5
105010030848236,Bryant Cameron Webb,DR. CAMERON WEBB FOR CONGRESS,3485,59
308506536540046,Alaskans for Better Elections,Alaskans for Better Elections,3481,38
1591120767618016,Marcus Goodwin,Marcus Goodwin For DC 2020,3475,17
106438637853917,One For All Committee,ONE FOR ALL COMMITTEE,3472,2
11791104453,NRDC,Natural Resources Defense Council,3460,119
215968684159,AFT - American Federation of Teachers,American Federation of Teachers,3460,99
2040270322863853,Tina Smith,TINA SMITH FOR MINNESOTA,3452,38
104354594734685,Trump For Minnesota,"DONALD J. TRUMP FOR PRESIDENT, INC.",3422,327
1596671280578981,Schools & Communities First,Schools and Communities First,3420,9
109379100777665,Patriotism Isn't Dead,Patriot Polling,3396,21
877489392359717,For Our Future Ohio,FOR OUR FUTURE,3378,8
116505355909,No On Prop 15,"No on Prop 15 - Stop Higher Property Taxes and Save Prop 13 - a coalition of California homeowners, taxpayers, and businesses",3362,147
101927028250230,American Liberty Fund,AMERICAN LIBERTY FUND,3351,21
664770743730817,Dan Feehan for Congress,FRIENDS OF DAN FEEHAN,3348,113
269719197271294,Accountable.US,Accountable.US,3340,2
17023576156,The Leadership Conference on Civil and Human Rights,Leadership Conference Education Fund,3308,36
587492097959347,Orange County Registrar of Voters,Orange County Registrar of Voters,3304,20
100256754899828,Patriot's Cave,Patriots Cave,3299,39
6500552187,Hulu,"HULU, LLC",3299,5
305832706292882,American Gun Association,GunAssociation.org,3270,114
80562389320,NARAL Pro-Choice America,NARAL Pro-Choice America,3264,6
116125736891597,Detroiters For Our Children,Detroiters for Our Children,3248,3
355316521236121,John Cornyn,Cornyn Majority Texas,3240,95
402969533432277,Cisneros for Congress,CISNEROS FOR CONGRESS,3239,20
1667863356625155,The Collective Super PAC,Collective Super PAC,3238,13
