Page ID,Page Name,Disclaimer,Amount Spent (USD)
38091883105,Republican Party of Pennsylvania,REPUBLICAN FEDERAL COMMITTEE OF PENNSYLVANIA,≤100
1852520761657982,4ocean,4ocean,≤100
106524727819174,True Patriot Supply Co.,True Patriot Supply Co,≤100
100778331787787,Rev Transcripts,Rev,≤100
519590768083165,Abby Finkenauer for Congress,FINKENAUER FOR CONGRESS,≤100
1452551204988299,GoReact,Speakworks Inc,≤100
106657774077733,Alan Roy for State Senate,Committee to Elect Leonard Alan Roy,≤100
104320074406295,David Cook for State Representative,David Cook Campaign,≤100
69611504313,Simon & Schuster,Simon and Schuster,≤100
971668776283950,PolicyEd,Hoover Institution,≤100
64742342517,Hagee Ministries,"GLOBAL EVANGELISM, INC.",≤100
100137754724934,Trump 2020 Supporters,Proud Right Winger,≤100
2071229469789306,Katica Roy,"Pipeline Equity, Inc.",≤100
305894606423160,ParentsTogether,ParentsTogether,≤100
17203056985,Partners In Health,Partners In Health,≤100
102671331487937,I Love My Freedom Store,I Love My Freedom,≤100
101457848380595,Vote 4 Denver Kids,Denver Commits to Kids,≤100
110828620426941,Roger Polack for Congress,ROGER FOR WISCONSIN,≤100
662962894077729,The Well News,The Well News,≤100
740835272633567,Scott Milne for Vermont,Scott Milne for Vermont,≤100
100119981671668,Blue Senate,BLUE SENATE PAC,≤100
169687486427698,Jentezen Franklin,FREE CHAPEL WORSHIP CENTER,≤100
266998036644674,Travis Rice,Protect Our Winters,≤100
111151490241542,Pollemix,Pollemix,≤100
1556928477963264,Steve Sisolak,Committee to Elect Steve Sisolak,≤100
86937680702,Norton,NortonLifeLock Inc.,≤100
1682876188698809,United for Respect,WFP IE COMMITTEE,≤100
290548664672,First Liberty,First Liberty Institute,≤100
160658967396083,Lyft,"LYFT, INC.",≤100
513735589123338,Jason Rarick for Senate,Rarick for Senate,≤100
19554217292,American Heart Association: You're the Cure,American Heart Association,≤100
254943996005,Catholic Answers,"CATHOLIC ANSWERS, INC.",≤100
101481584557260,Help Asheville Bears-HAB,Heather Christina Williams,≤100
8936818385,Accuracy in Media,"ACCURACY IN MEDIA, INC",≤100
101842531465287,Jana R. Mueller for Clerk of the District Court,Jana R. Mueller for Clerk of the District Court,≤100
717417908274761,Lady Freethinker,Lady Freethinker,≤100
7357041101,Tammy Baldwin,TAMMY BALDWIN FOR SENATE,≤100
101888608186192,MedicalCommunitynet,Medical Community LLC,≤100
19036504767,Center for Victims of Torture,"CENTER FOR VICTIMS OF TORTURE, THE",≤100
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,≤100
103163458207589,Our Patriot Shop,The GOP Shop,≤100
7341997111,Conservation International,Conservation International,≤100
162493793737,Rick Green,Richard Arlin Green,≤100
151757038879920,Alyse Galvin for Congress 2020,ALYSE FOR ALASKA,≤100
131306317680000,Social Goods,"Social Goods, LLC",≤100
698400060189827,Dan Sullivan,Alaskans for Sullivan,≤100
137459917707,The Brookings Institution,The Brookings Institution,≤100
109914474151573,COMMUNITYx App,CommunityX,≤100
290851614930809,Combat AntiSemitism,Combat Anti-Semitism,≤100
607626319739286,Black Voices for Trump,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,≤100
105283560949571,Trump 2024 Film,2024 LLC,≤100
487296634750429,Elect Karen Fann,Elect Karen Fann LD1 Senate,≤100
115497288466814,Home Builders Association of Central Arizona,Home Builders Association of Central Arizona,≤100
137051766452,Purusha People Clothing,Purusha People,≤100
107109947803536,Analyzing America,Gregory Lawrence Burright,≤100
100284648021034,New Tolerance Campaign,New Tolerance Campaign,≤100
179513292162226,American History TV,C-SPAN,≤100
151577215422581,Zioness Movement,"Zioness Movement, Inc.",≤100
103877744493195,Briit Botanicals,Briit Botanicals,≤100
205164243980,Vermont Law School,Vermont Law School,≤100
370657382416,Stanley Black & Decker,"STANLEY BLACK & DECKER, INC.",≤100
105380351292143,Team Kawa,Abraham None Kawa,≤100
1646823955646308,Mike Donovan,NEXUS SERVICES INC,≤100
296708523873754,Karla Dennis and Associates Inc.,"Karla Dennis & Associates, Inc",≤100
143089732792,Marsha Blackburn,Blackburn Tennessee Victory Fund,≤100
260668817346988,Ignite National,IGNITE,≤100
294196590710262,FWD.us,FWD.us,≤100
102389457864860,Treehuggers Bracelets,ECOMX LLC,≤100
367292494407,AJC - American Jewish Committee,AMERICAN JEWISH COMMITTEE,≤100
112552187080266,Protecting Every Future,American Council of Life Insurers,≤100
1701899883357807,Seed Your Future,Seed Your Future,≤100
672213539861652,John Anthony Castro,John Anthony Castro,≤100
398757490729,The National Network to End Domestic Violence,"NATIONAL NETWORK TO END DOMESTIC VIOLENCE, INC.",≤100
121033149320,American Indian College Fund,"AMERICAN INDIAN COLLEGE FUND, THE",≤100
15503839732,Peter G. Peterson Foundation,Peter G. Peterson Foundation,≤100
7209432197,Chris Coons,CHRIS COONS FOR DELAWARE,≤100
107297026677,Labor Council for Latin American Advancement (LCLAA),Labor Council for Latin American Advancement with Facebook ad Credits,≤100
113553048669158,Rick Scott,TEAM RICK SCOTT,≤100
1857848057772311,SiriusXM Entertainment,SiriusXM,≤100
36474716066,Color Of Change,ColorofChange.org,≤100
346814612024906,BoyerAZ,Boyer for Senate,≤100
151297638887120,Upswell,Independent Sector,≤100
1505244559517282,Colin Allred,COLIN ALLRED FOR CONGRESS,≤100
896759427103774,Modern Medicaid Alliance,Modern Medicaid Alliance,≤100
510680265702016,Crowned Free,Crowned Free,≤100
332803374044043,Chris Bubser for Congress,CHRIS BUBSER FOR CONGRESS,≤100
114128055303516,ProgressNow New Mexico,ProgressNow New Mexico,≤100
233116802464,Independent Voter,Independent Voter Project,≤100
1920844444797122,The American Project at Pepperdine SPP,Pepperdine University,≤100
108152933883451,TrumpTrendz,Troy Lorenzo Davis,≤100
1526736227567131,TrueCoverage,True Coverage,≤100
109742407314234,Restoration Action,Restoration Action,≤100
5633824547,FreedomWorks,"FREEDOMWORKS, INC.",≤100
102054228320095,Protecting Free Markets and Main Street,Protecting Free Markets & Main Street LLC,≤100
123963360928,SiriusXM,SIRIUS XM RADIO INC.,≤100
29092950651,TED,These ads ran without a disclaimer,≤100
51405613519,Focus on the Family,Focus on the Family,≤100
839073729808623,Hillary Scholten,SCHOLTEN FOR CONGRESS,≤100
105202730827149,Michael Moore for Commissioner,Michael Moore for Commissioner,≤100
776519762498598,Count MI Vote,COUNT MI VOTE,≤100
184454441693689,National Foundation for Infectious Diseases,National Foundation for Infectious Diseases,≤100
661744180680367,National Police Association,"NATIONAL POLICE ASSOCIATION, INC.",≤100
13063797831,Ben Ray Luján,PEOPLE FOR BEN,≤100
110035803933338,Paul Piotrowski for State Senate,Piotrowski for State Senate,≤100
260366367717440,Committee to Protect Medicare,Committee to Protect Medicare PAC,≤100
221401431386940,Pramila Jayapal,PRAMILA FOR CONGRESS,≤100
101724361319410,Ronny Jackson for U.S. Congress TX-13,Texans for Ronny Jackson,≤100
83996318078,Change.org,"Change.org, PBC",≤100
258470931719484,The Why Minutes,The Why Minutes,≤100
103376804451432,Trending Politics,Making Web LLC,≤100
113896960357316,Peter Wenstrup,CITIZENS FOR WENSTRUP,≤100
431099560800970,Front Page Live,"Front Page Live, Inc.",≤100
514167322309353,Dan Crenshaw,Dan Crenshaw for Congress,≤100
113644103666790,America First,TruthLion,≤100
157652584384932,David Schweikert,FRIENDS OF DAVID SCHWEIKERT,≤100
267180743723148,National Geographic Society,National Geographic Society,≤100
811235738899569,Alleyoop,"Alleyoop, Inc",≤100
404929222888251,Conservation Colorado,Conservation Colorado,≤100
1706061183015990,Caputi for Council,Caputi For Council,≤100
422008131240977,Equality Florida Action PAC,EQUALITY FLORIDA ACTION PAC INC,≤100
102413723172970,Nick Adams,Nick Adams,≤100
112466103920096,Georgia Rising,SMP,≤100
182620315479,Plan International USA,Plan International USA,≤100
134275060386,DAV,DISABLED AMERICAN VETERANS,≤100
69875479869,Upwardly Global,UPWARDLY GLOBAL,≤100
104510688080741,"North Carolina: To Be Safe, Vote Early",DSCC,≤100
1316372698453411,Alexandria Ocasio-Cortez,THE SQUAD VICTORY FUND,≤100
109104833758307,CannedGood,CannedGood,≤100
142836829093760,The American Constitutional Rights Union,Jorge Ernesto Amselle,≤100
1013558392124611,One Vote,One Vote Productions LLC,≤100
1542667775987515,Universal Standard,Universal Standard Inc.,≤100
243399129090445,Christina Hale,HOOSIERS FOR HALE,≤100
373104969480729,SpeakEasy Political,SPEAKEASY POLITICAL INC,≤100
282150391938385,Gallatin County Republican Women,Gallatin County Republican Women,≤100
169440273093442,The Center for Election Science,The Center for Election Science,≤100
215968684159,AFT - American Federation of Teachers,American Federation of Teachers,≤100
394707496275,Threads 4 Thought,Threads 4 Thought,≤100
116599373532197,Lev Haolam US Friends,Lev Haolam. Us friends,≤100
249276273228,Phil Scott for Vermont,Phil Scott For Vermont,≤100
109200595768753,The Christian Left,The Christian Left,≤100
296680801734,Dr. James Dobson's Family Talk,Dr. James Dobson's Family Talk,≤100
113310617054164,Trump Baseball Bats,Trump Baseball Bats,≤100
551158678560402,Epimonia,Epimonia LLC,≤100
244554749685,National Congress of American Indians,NATIONAL CONGRESS OF AMERICAN INDIANS OF THE UNITED STATES AND ALASKA INC,≤100
110124618713,American Principles Project,AMERICAN PRINCIPLES PROJECT PAC,≤100
470123833024708,Constitutional Rights PAC,CONSTITUTIONAL RIGHTS PAC,≤100
186932688457686,CHNGE,CHNGE,≤100
963484097022829,Thrivent Mutual Funds,Thrivent,≤100
8895898655,Rainforest Alliance,"RAINFOREST ALLIANCE, INC.",≤100
112164673854264,Living Patriotically,Living Patriotically,≤100
24470472733,The Trevor Project,The Trevor Project,≤100
1552675688372326,Color Of Change PAC,Color Of Change PAC,≤100
111499100431,National Association for Gun Rights,NATIONAL ASSOCIATION FOR GUN RIGHTS INC,≤100
262589367126101,The Tikvah Fund,TIKVAH FUND,≤100
181924628560212,SumOfUs,SumOfUs,≤100
112459080622760,Church Prepared,Final Consults LLC,≤100
1945837408977507,Michael Moates,-MICHAEL STEVEN MOATES,≤100
1084856268238034,Trump Talking,Roberto None Lugo,≤100
12683623041,Society for Human Resource Management (SHRM),SOCIETY FOR HUMAN RESOURCE MANAGEMENT,≤100
30914589895,The International Fellowship of Christians and Jews,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",≤100
543066585882629,Libertarian Country,Libertarian Country,≤100
242679302418244,Denison Forum,Denison Ministries,≤100
160191644025128,Walton Family Foundation,WALTON FAMILY FOUNDATION INC,≤100
169042736456594,All Out,All Out Action Fund.,≤100
598394107018675,Assist the Resistance,Assist the Resistance,≤100
1187795864655571,Amy Padden for District Attorney,Amy Padden for District Attorney,≤100
836826976517252,International Christian Embassy Jerusalem - USA,"International Christian Embassy Jerusalem - USA, Inc.",≤100
104112564741005,Artists In Presidents,Artists In Presidents,≤100
148205145252473,Backcountry Hunters & Anglers,Backcountry Hunters & Anglers,≤100
421177048353664,PetJoy,These ads ran without a disclaimer,≤100
601108943431836,The Flip Side,TFS Inc,≤100
